date,tmin,tmax,prcp,snow,snwd,awnd
7/15/19,70,95,0.35,0,0,4.25
5/13/17,52,66,0.23,0,0,4.47
11/27/20,49,67,0,0,0,2.46
7/17/19,76,98,0.03,0,0,8.95
5/19/17,68,89,0,0,0,8.05
11/29/20,36,63,0.54,0,0,3.58
7/19/19,74,98,0,0,0,6.93
5/20/17,67,90,0,0,0,7.38
12/21/20,42,55,0,0,0,6.93
7/21/19,73,99,0,0,0,9.62
5/22/17,68,80,0.3,0,0,8.05
12/25/20,26,57,0.05,0,0,10.51
7/24/19,62,84,0,0,0,4.7
5/23/17,67,71,0.69,0,0,4.47
12/27/20,24,51,0,0,0,2.24
7/25/19,63,87,0,0,0,4.25
5/29/17,64,87,0.08,0,0,3.13
12/29/20,32,51,0,0,0,5.14
7/30/19,68,94,0,0,0,6.26
6/1/17,62,85,0,0,0,1.57
12/30/20,26,46,0.06,0,0,1.79
8/2/19,68,87,0.21,0,0,5.14
6/2/17,61,85,0,0,0,3.8
1/1/21,41,55,0.65,0,0,7.83
8/10/19,71,91,0,0,0,3.58
6/4/17,61,90,0.38,0,0,5.82
1/2/21,42,57,0.6,0,0,3.13
8/16/19,70,88,0.64,0,0,3.13
6/12/17,67,89,0,0,0,6.49
1/7/21,27,49,0,0,0,2.91
8/17/19,72,91,0,0,0,4.47
6/14/17,66,93,0,0,0,5.82
1/8/21,35,40,0.35,0,0,5.59
8/19/19,72,95,0,0,0,6.26
6/15/17,70,91,0,0,0,3.36
1/12/21,34,56,0.09,0,0,1.79
8/28/19,69,88,0,0,0,2.91
7/2/17,71,92,0,0,0,4.47
1/19/21,27,57,0,0,0,6.04
9/1/19,63,86,0,0,0,5.59
7/5/17,70,89,0.47,0,0,2.46
1/23/21,25,48,0,0,0,4.03
9/10/19,70,89,0,0,0,3.8
7/11/17,71,95,0,0,0,6.93
1/25/21,39,46,0.37,0,0,3.8
9/12/19,71,96,0,0,0,4.03
7/16/17,73,91,0.05,0,0,5.14
2/2/21,33,45,0,0,0,9.4
9/13/19,71,82,0.01,0,0,8.95
7/19/17,67,94,0,0,0,2.68
2/4/21,23,53,0,0,0,5.14
9/17/19,66,88,0.07,0,0,5.82
7/20/17,71,99,0,0,0,3.8
2/15/21,35,43,0.63,0,0,6.26
9/18/19,60,79,0,0,0,7.61
7/22/17,76,101,0,0,0,10.74
2/19/21,32,44,0.42,0,0,4.7
9/30/19,71,88,0,0,0,6.04
8/3/17,68,94,0,0,0,3.8
3/5/21,34,52,0,0,0,4.7
10/12/19,52,86,0,0,0,4.03
8/4/17,68,92,0,0,0,7.16
3/6/21,33,55,0,0,0,2.68
10/22/19,57,77,0.18,0,0,6.04
8/7/17,74,92,0.04,0,0,10.96
3/9/21,33,72,0,0,0,3.36
11/30/19,46,50,0.25,0,0,4.03
8/13/17,73,81,0.73,0,0,6.26
3/16/21,35,45,0.37,0,0,4.92
12/11/19,30,48,0.32,0,0,4.47
8/21/17,71,93,0,0,0,3.13
3/27/21,55,77,0.91,0,0,4.25
12/16/19,40,70,0,0,0,7.61
8/27/17,63,81,0,0,0,9.17
3/30/21,40,74,0,0,0,7.38
12/18/19,34,48,0,0,0,6.26
8/31/17,69,87,0.01,0,0,7.16
4/13/21,49,76,0,0,0,4.03
12/19/19,27,44,0,0,0,1.79
9/4/17,59,87,0,0,0,3.58
4/17/21,43,65,0,0,0,0.89
12/23/19,42,50,0.25,0,0,5.59
9/13/17,61,84,0,0,0,6.71
4/22/21,32,61,0,0,0,5.82
12/27/19,44,67,0,0,0,2.01
9/22/17,61,89,0,0,0,2.24
5/3/21,66,79,0.2,0,0,11.86
12/31/19,39,59,0,0,0,6.04
9/25/17,63,83,0,0,0,6.71
5/7/21,43,64,0.33,0,0,2.91
1/1/20,35,55,0,0,0,4.47
10/20/17,43,77,0,0,0,2.01
5/25/21,65,85,0,0,0,4.7
1/11/20,57,72,0.02,0,0,12.97
10/21/17,48,79,0,0,0,2.01
5/31/21,51,75,0,0,0,1.34
1/12/20,63,70,0.31,0,0,9.17
10/23/17,61,76,1.12,0,0,10.74
6/4/21,71,85,0.02,0,0,5.82
1/26/20,32,54,0,0,0,4.25
10/30/17,36,59,0,0,0,6.93
6/7/21,72,89,0,0,0,8.28
1/29/20,28,50,0,0,0,2.68
10/31/17,39,69,0,0,0,1.79
6/12/21,70,80,0.03,0,0,7.38
1/30/20,32,51,0,0,0,5.82
11/8/17,43,45,0.13,0,0,8.28
6/17/21,58,82,0,0,0,3.58
2/2/20,33,63,0,0,0,10.96
11/9/17,45,50,0.27,0,0,4.03
6/18/21,56,88,0,0,0,5.37
2/4/20,57,69,0,0,0,10.07
11/23/17,29,50,0,0,0,2.68
6/19/21,71,92,0,0,0,11.63
